,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
148,15778.0,16010.0,15894.0,41,0.0,0.0,0.0,19,Calgary,41,656450,82,1999,0
149,16282.0,15804.0,16043.0,41,0.0,0.0,0.0,20,Anaheim,41,647973,82,1999,0
150,15583.0,15802.0,15693.0,41,0.0,0.0,0.0,21,Vancouver,41,647913,82,1999,0
151,16477.0,15547.0,16012.0,41,0.0,0.0,0.0,22,Arizona,41,637467,82,1999,0
152,16316.0,14824.0,15570.0,41,0.0,0.0,0.0,23,Pittsburgh,41,607822,82,1999,0
153,16022.0,12795.0,14408.0,41,0.0,0.0,0.0,24,Los Angeles,41,524599,82,1999,0
154,15659.0,11510.0,13585.0,41,0.0,0.0,0.0,25,Tampa Bay,41,471948,82,1999,0
155,16335.0,11299.0,13817.0,41,0.0,0.0,0.0,26,NY Islanders,41,463276,82,1999,0
156,16351.0,8187.0,12269.0,41,0.0,0.0,0.0,27,Carolina,41,335696,82,1999,0
157,15851.0,20205.0,18028.0,41,0.0,0.0,0.0,1,Montreal,41,828437,82,2000,0
158,17727.0,19983.0,18855.0,41,0.0,0.0,0.0,2,Detroit,41,819303,82,2000,0
159,17215.0,19634.0,18424.0,41,0.0,0.0,0.0,3,Philadelphia,41,805014,82,2000,0
160,16865.0,19158.0,18011.0,41,0.0,0.0,0.0,4,Toronto,41,785484,82,2000,0
161,0.0,0.0,0.0,762222,82.0,41.0,,5,41,16391,18590,17490,2000,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
162,16935.0,18200.0,17567.0,41,0.0,0.0,0.0,6,NY Rangers,41,746200,82,2000,0
163,16683.0,17955.0,17319.0,41,0.0,0.0,0.0,7,Buffalo,41,736174,82,2000,0
164,16584.0,17889.0,17237.0,41,0.0,0.0,0.0,8,Colorado,41,733471,82,2000,0
165,15711.0,17508.0,16610.0,41,0.0,0.0,0.0,9,Ottawa,41,717852,82,2000,0
166,16024.0,17290.0,16657.0,41,0.0,0.0,0.0,10,San Jose,41,708925,82,2000,0
167,15812.0,17206.0,16509.0,41,0.0,0.0,0.0,11,Winnipeg,41,705446,82,2000,0
168,16635.0,17001.0,16818.0,41,0.0,0.0,0.0,12,Dallas,41,697041,82,2000,0
169,15596.0,16599.0,16097.0,41,0.0,0.0,0.0,13,Nashville,41,680582,82,2000,0
170,16332.0,16518.0,16425.0,41,0.0,0.0,0.0,14,Los Angeles,41,677264,82,2000,0
171,16737.0,16322.0,16529.0,41,0.0,0.0,0.0,15,Boston,41,669237,82,2000,0
172,16310.0,16274.0,16292.0,41,0.0,0.0,0.0,16,Chicago,41,667237,82,2000,0
173,15924.0,15981.0,15953.0,41,0.0,0.0,0.0,17,Florida,41,655260,82,2000,0
174,16058.0,15800.0,15929.0,41,0.0,0.0,0.0,18,Edmonton,41,647835,82,2000,0
175,16719.0,15443.0,16081.0,41,0.0,0.0,0.0,19,Pittsburgh,41,633199,82,2000,0
176,15731.0,15320.0,15526.0,41,0.0,0.0,0.0,20,Calgary,41,628158,82,2000,0
177,16745.0,15206.0,15975.0,41,0.0,0.0,0.0,21,New Jersey,41,623457,82,2000,0
178,16536.0,14991.0,15763.0,41,0.0,0.0,0.0,22,Arizona,41,614644,82,2000,0
179,16624.0,14641.0,15633.0,41,0.0,0.0,0.0,23,Vancouver,41,600313,82,2000,0
180,15882.0,14485.0,15184.0,41,0.0,0.0,0.0,24,Washington,41,593922,82,2000,0
181,16691.0,14460.0,15575.0,41,0.0,0.0,0.0,25,Anaheim,41,592883,82,2000,0
182,15650.0,13600.0,14625.0,41,0.0,0.0,0.0,26,Tampa Bay,41,557618,82,2000,0
183,15889.0,12400.0,14144.0,41,0.0,0.0,0.0,27,Carolina,41,508424,82,2000,0
184,16551.0,9748.0,13149.0,41,0.0,0.0,0.0,28,NY Islanders,41,399671,82,2000,0
185,16013.0,20105.0,18059.0,41,0.0,0.0,0.0,1,Montreal,41,824308,82,2001,0
186,17889.0,19995.0,18942.0,41,0.0,0.0,0.0,2,Detroit,41,819795,82,2001,0
187,17182.0,19575.0,18378.0,41,0.0,0.0,0.0,3,Philadelphia,41,802595,82,2001,0
188,0.0,0.0,0.0,800319,82.0,41.0,,4,41,16898,19519,18209,2001,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
189,17172.0,19257.0,18215.0,41,0.0,0.0,0.0,5,Toronto,41,789567,82,2001,0
190,16192.0,18328.0,17260.0,41,0.0,0.0,0.0,6,Minnesota,41,751468,82,2001,0
191,17628.0,18200.0,17914.0,41,0.0,0.0,0.0,7,NY Rangers,41,746200,82,2001,0
192,17370.0,18007.0,17688.0,41,0.0,0.0,0.0,8,Colorado,41,738287,82,2001,0
193,16168.0,17839.0,17004.0,41,0.0,0.0,0.0,9,Buffalo,41,731438,82,2001,0
194,16312.0,17793.0,17052.0,41,0.0,0.0,0.0,10,Ottawa,41,729515,82,2001,0
195,16101.0,17468.0,16785.0,41,0.0,0.0,0.0,11,San Jose,41,716196,82,2001,0
196,16002.0,17457.0,16729.0,41,0.0,0.0,0.0,12,Columbus,41,715738,82,2001,0
197,16767.0,17026.0,16896.0,41,0.0,0.0,0.0,13,Vancouver,41,698077,82,2001,0
